,radius,start_time,a_avg,b_avg,bstd_avg,n_avg,mc_avg,a_std,b_std,bstd_std,n_std,mc_std,diff
218,6,1991-07-31 00:00:00+00:00,8.733445139016863,3.8010492813306542,3.802430200279516e-16,3.2111111111111112,1.034444444444445,10.646267994019732,3.796346143640125,7.753200610132046e-16,2.0852313451501026,0.1920680538984544,0.20657524707532327
219,6,1992-01-31 00:00:00+00:00,8.636788848265908,3.660361294460552,3.4969649977196455e-16,3.25531914893617,1.0468085106382985,10.73003077448788,3.7505827050988576,1.012175788718831e-15,1.8312471231597853,0.15637157818614167,-0.1406879868701023
220,6,1992-07-31 00:00:00+00:00,6.963579783044406,3.547673425416825,3.55347835442215e-16,3.3372093023255816,1.0104651162790705,8.997279463151754,3.7369983258153057,7.56150941221111e-16,2.13987611030215,0.15720280626700536,-0.11268786904372696
221,6,1993-01-31 00:00:00+00:00,6.575168330225552,3.312716109314555,2.514491907357346e-16,3.4574468085106385,1.0382978723404257,8.9394945205776,3.665357210213306,6.196564868633465e-16,1.835521042412818,0.15247519310220084,-0.23495731610226978
222,6,1993-07-31 00:00:00+00:00,7.50792655254064,3.790557195598407,2.609595660445789e-16,3.4444444444444446,1.0355555555555558,9.301749841975905,3.7877607377785356,6.259510748075156e-16,2.1311552551604493,0.19505753176723553,0.4778410862838518
223,6,1994-01-31 00:00:00+00:00,12.854216048163615,5.202201966475826,1.691968598819421e-16,2.688311688311688,1.00909090909091,12.03001470059241,3.992703895168927,5.76799607032637e-16,1.726418107099054,0.14795253344606868,1.4116447708774191
224,6,1994-07-31 00:00:00+00:00,12.918016532397171,5.424220790964293,1.7153543051916665e-16,2.925925925925926,0.981481481481482,11.808564828992322,3.8943853669195425,4.118301284168926e-16,2.0783273188899876,0.16440127060876922,0.2220188244884671
225,6,1995-01-31 00:00:00+00:00,11.23213337497907,4.2429060148800755,2.864295201602198e-16,3.1904761904761907,0.9492063492063494,12.244491096229629,3.966105650448974,1.2629525988049139e-15,1.9907620753251734,0.16350299974856525,-1.1813147760842178
226,6,1995-07-31 00:00:00+00:00,11.62335945106308,4.664376966470053,3.2889366686443334e-16,2.948051948051948,0.9948051948051955,11.97835922946585,3.906673867153062,1.2209390433157055e-15,1.7388449273803621,0.15802739926996,0.4214709515899777
227,6,1996-01-31 00:00:00+00:00,11.473300885734846,4.798286489763442,1.922247880996217e-16,3.2,0.9773333333333335,11.7633400488982,4.016352763849907,5.287744192478682e-16,1.9172051730776427,0.15472148764389104,0.13390952329338912
228,6,1996-07-31 00:00:00+00:00,15.248459947205175,5.982578143923682,9.525698185966345e-17,2.6296296296296298,1.0123456790123462,11.991753177566695,3.7686849727476135,1.8406804627819077e-16,1.9068589646618102,0.152792928541689,1.1842916541602397
229,6,1997-01-31 00:00:00+00:00,11.703680597696811,5.194200223256485,1.253008604573598e-16,3.161764705882353,0.9750000000000004,11.489769423494595,3.989421131191862,2.9335317381440043e-16,2.063255608257103,0.16149950325694132,-0.7883779206671973
230,6,1997-07-31 00:00:00+00:00,12.233138522296919,5.298304791457113,3.9563375076960717e-16,2.548780487804878,1.009756097560976,11.65090679878739,3.9349103111832764,1.332270896757276e-15,1.7578918281892586,0.13753541056721214,0.1041045682006283
231,6,1998-01-31 00:00:00+00:00,11.32896241779392,4.681689134780506,4.0568747291137977e-16,3.0833333333333335,0.9847222222222227,11.804999318885622,3.8644190506486007,8.104948388426871e-16,1.805703015526554,0.15624080567627802,-0.6166156566766068
232,6,1998-07-31 00:00:00+00:00,12.40768131541373,5.086967937827821,3.3687626028911145e-16,2.8313253012048194,0.9915662650602416,11.957606319433742,3.9422927748969996,1.2203447096974754e-15,1.8334246052490217,0.1571117508740494,0.4052788030473149
233,6,1999-01-31 00:00:00+00:00,12.276421024451462,4.907645516450883,5.332405115749665e-16,2.902439024390244,0.9743902439024398,12.055444070506907,3.8325016994983696,1.3752495988903584e-15,2.016045243084094,0.15619786091843685,-0.17932242137693777
234,6,1999-07-31 00:00:00+00:00,13.971251627986348,5.268925074337973,3.064288655795104e-16,2.6973684210526314,1.0250000000000001,12.410156356756382,3.9254693771519644,1.118607559861714e-15,1.532055149939499,0.12871156384205215,0.36127955788709
