radius,start_time,a_avg,b_avg,bstd_avg,n_avg,mc_avg,a_std,b_std,bstd_std,n_std,mc_std
21.5,1990-07-31 00:00:00+00:00,4.19398525457,0.627546268664,2.20181249341e-15,8783.2,0.4,0.00456724298498,0.00758857630255,2.03489111657e-15,620.01555536,0.0507718207058
21.5,1990-08-31 00:00:00+00:00,4.19391249504,0.628321342358,2.4402038981e-15,8830.6,0.395,0.00519984852042,0.00621171538017,1.75308382853e-15,467.06606718,0.040345728123
21.5,1990-09-30 00:00:00+00:00,4.19751354301,0.631372711828,2.13549050347e-15,8131.1,0.455,0.00449735296943,0.0092132964508,1.58392667874e-15,192.674423143,0.0158113883008
21.5,1990-10-31 00:00:00+00:00,4.1934683166,0.628527948579,2.20311847729e-15,9051.1,0.379,0.00477916136995,0.00745705879994,1.51362090829e-15,816.274661019,0.0682234889495
21.5,1990-11-30 00:00:00+00:00,4.19699212236,0.635546861466,2.32678443083e-15,8186.3,0.452,0.00605954257026,0.00987048626987,1.75496070961e-15,1216.87934671,0.101631141334
21.5,1990-12-31 00:00:00+00:00,4.20438695801,0.640214563768,1.64153636678e-15,8012.8,0.47,0.00756916498341,0.00923692986858,1.04618590003e-15,464.554697174,0.0421637021356
21.5,1991-01-31 00:00:00+00:00,4.19786516395,0.636832700593,1.93714454822e-15,8229.7,0.444,0.00469248612172,0.00697521596264,1.53537344882e-15,366.839368419,0.0313404247294
21.5,1991-02-28 00:00:00+00:00,4.19595238558,0.63328047363,1.80993330356e-15,8384.4,0.43,0.00456819749658,0.00606673227243,1.19583782233e-15,56.3327416142,0.0
21.5,1991-03-31 00:00:00+00:00,4.19727903771,0.636410374579,2.15489092663e-15,8216.0,0.444,0.00441535915404,0.0047966657647,1.3616270952e-15,110.446568278,0.00516397779494
21.5,1991-04-30 00:00:00+00:00,4.19879151643,0.639040304753,2.75142417088e-15,7987.4,0.465,0.0049541652531,0.00701048361377,1.43247287075e-15,611.240305535,0.0527573059711
21.5,1991-05-31 00:00:00+00:00,4.19683744543,0.636007239084,2.12355593338e-15,8258.3,0.441,0.00622907752023,0.0067756465007,8.29355877673e-16,431.876281153,0.0372528895225
21.5,1991-06-30 00:00:00+00:00,4.19455953257,0.635369646249,2.3732965879e-15,8552.5,0.417,0.00464553926297,0.00720090908782,1.46574723435e-15,1029.15296887,0.0876926450736
21.5,1991-07-31 00:00:00+00:00,4.19429581728,0.635941123035,1.95339343952e-15,7818.1,0.476,0.0042258985816,0.00592582545969,1.4357063009e-15,745.509587091,0.0639791632747
21.5,1991-08-31 00:00:00+00:00,4.19532593817,0.632713483563,4.00274995153e-15,8410.3,0.428,0.00315899873758,0.0101656652245,2.21584771193e-15,435.08876489,0.0315524255099
21.5,1991-09-30 00:00:00+00:00,4.1960399026,0.637142907865,2.68433953812e-15,8208.7,0.442,0.00238037560476,0.00499754867465,2.24770208116e-15,72.4232160445,0.00421637021356
21.5,1991-10-31 00:00:00+00:00,4.19739136319,0.638353601631,1.57726535903e-15,8216.3,0.445,0.00644995026118,0.011616233793,8.54079504263e-16,858.038596645,0.0709068246206
21.5,1991-11-30 00:00:00+00:00,4.1932234297,0.634294410801,2.35553079993e-15,8329.1,0.431,0.00465927838168,0.00787999097415,2.03630767833e-15,589.860331868,0.0493175650476
21.5,1991-12-31 00:00:00+00:00,4.19366749897,0.632134584752,2.38386128832e-15,8589.6,0.412,0.00353432187533,0.00733924815581,9.64085921775e-16,622.980327851,0.0507280330127
21.5,1992-01-31 00:00:00+00:00,4.19196037423,0.63001589864,1.20433298972e-15,8567.1,0.412,0.00446502451185,0.00703850930497,1.29400740416e-15,477.510081336,0.0413118223595
21.5,1992-02-29 00:00:00+00:00,4.19874380858,0.640829515776,1.37262251616e-15,7576.9,0.502,0.00408671871733,0.00672008251013,1.23857062876e-15,929.542713142,0.0801110340576
21.5,1992-03-31 00:00:00+00:00,4.19366977013,0.634627463823,2.23745563731e-15,8617.4,0.409,0.00451349331842,0.00905790935832,2.04367337138e-15,821.583592825,0.0655659125529
21.5,1992-04-30 00:00:00+00:00,4.19355546822,0.6347181814,2.57281570529e-15,8390.4,0.425,0.00217857435842,0.00477235197248,1.40598081936e-15,223.59596498,0.0164991582277
21.5,1992-05-31 00:00:00+00:00,4.19695043605,0.640400176559,2.07411200854e-15,8259.0,0.438,0.0043188340362,0.0060097860131,1.44140375684e-15,490.298548506,0.0423739962189
21.5,1992-06-30 00:00:00+00:00,4.19689408063,0.636385724171,2.94360827414e-15,8633.8,0.41,0.00339424822558,0.00508819784469,1.84138472718e-15,394.508921178,0.0298142397
21.5,1992-07-31 00:00:00+00:00,4.19544073655,0.63956324229,2.99433350696e-15,8429.4,0.422,0.00395153327832,0.00688983357766,1.87192075933e-15,362.264544221,0.0304776785351
21.5,1992-08-31 00:00:00+00:00,4.18920238447,0.633049349382,1.49526358926e-15,8525.6,0.409,0.00669473030583,0.00880849120059,1.18519396957e-15,545.457850495,0.0484079883215
21.5,1992-09-30 00:00:00+00:00,4.19786894971,0.64682747118,1.90781952701e-15,7692.1,0.482,0.00407284756367,0.00545696178657,1.74022059631e-15,86.8401468856,0.00421637021356
21.5,1992-10-31 00:00:00+00:00,4.19476402931,0.638468132639,1.08362896375e-15,8851.3,0.388,0.00360512266626,0.00655697645096,5.71935718653e-16,254.933128487,0.0193218356616
21.5,1992-11-30 00:00:00+00:00,4.19404024541,0.639306556158,2.24751047691e-15,8488.5,0.417,0.00772217384943,0.0109050983159,1.47738903549e-15,872.631047147,0.0749888880657
21.5,1992-12-31 00:00:00+00:00,4.19301707209,0.639487430987,2.05293410118e-15,8586.0,0.406,0.00492446874273,0.00617392271121,1.26000183933e-15,488.986252931,0.041686661869
21.5,1993-01-31 00:00:00+00:00,4.19540266831,0.644907955591,2.05219572483e-15,7705.3,0.48,0.00509658546043,0.00593008869567,1.41545206639e-15,639.175519278,0.0549747416749
21.5,1993-02-28 00:00:00+00:00,4.19068631906,0.640562245055,2.04905827054e-15,8430.9,0.415,0.00431308207814,0.00806244092484,1.32809431456e-15,704.355883848,0.0579750904364
21.5,1993-03-31 00:00:00+00:00,4.19147088529,0.641349846611,1.57265070159e-15,8269.8,0.428,0.00642782858919,0.00699123402466,1.09757840866e-15,517.904066621,0.0413118223595
21.5,1993-04-30 00:00:00+00:00,4.19307103462,0.640288862786,1.46480058091e-15,8769.7,0.391,0.00371500148547,0.00948837775519,9.49948504588e-16,380.395130825,0.0324722103412
21.5,1993-05-31 00:00:00+00:00,4.19139342905,0.644345755955,1.43882356184e-15,7933.5,0.453,0.0037360378993,0.00462844171506,9.30742740632e-16,78.8335095135,0.0048304589154
21.5,1993-06-30 00:00:00+00:00,4.19149459459,0.641633032808,3.46037420901e-15,8226.9,0.433,0.00552247826965,0.00750918146477,1.40966872572e-15,892.820306669,0.0730372811956
21.5,1993-07-31 00:00:00+00:00,4.19206926003,0.640711566858,1.82282831597e-15,8579.1,0.404,0.00581710281525,0.00984580742441,2.00727600941e-15,452.307282473,0.0394968353163
21.5,1993-08-31 00:00:00+00:00,4.19271699573,0.644006972497,2.33891294045e-15,8182.0,0.436,0.00350592018677,0.00935324214174,1.69903178211e-15,677.317257027,0.0550151494287
21.5,1993-09-30 00:00:00+00:00,4.19453496137,0.644528196894,2.13310137614e-15,8015.2,0.451,0.00620832737141,0.00965290315563,2.08445564323e-15,350.138639208,0.0317804971641
21.5,1993-10-31 00:00:00+00:00,4.19055777836,0.644677163365,2.34585020596e-15,7953.9,0.451,0.00519555019549,0.00477669184021,1.42476293204e-15,555.594466415,0.0481779110289
21.5,1993-11-30 00:00:00+00:00,4.19296500915,0.643457930239,2.57892875439e-15,8849.2,0.384,0.00359168959894,0.0071069587208,1.96621659728e-15,692.640005903,0.0518973345494
